timestamp,text
2021-08-29 20:00:00,"b'""We will administer the second dose to 100 per cent of the population by November 30,"" the state health minister sa\xe2\x80\xa6 https://t.co/JkrQ024vgL'"
2021-08-29 19:26:35,b'13 new cases in Djibouti \n\n[21:26 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 19:19:05,"b'6,574 new cases and 12 new deaths in Germany \n\n[21:19 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 19:11:35,"b'6,574 new cases and 12 new deaths in Germany \n\n[21:11 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 19:03:43,b'11 new cases in Mali \n\n[21:03 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 19:02:30,b'Problem solved! #COVID19 #coronavirus #CoronavirusPandemic  #corona https://t.co/IUx4RL76Y9'
2021-08-29 18:58:16,b'11 new cases in Mali \n\n[20:58 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 18:52:50,b'1 new case in Chad \n\n[20:52 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 18:46:35,b'663 new cases and 27 new deaths in the Republic of North Macedonia \n\n[20:46 GMT] #coronavirus #CoronaVirusUpdate\xe2\x80\xa6 https://t.co/8moyyi499G'
2021-08-29 18:40:27,"b'6,074 new cases and 12 new deaths in Germany \n\n[20:40 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
2021-08-29 18:37:09,b'As many as 21 districts in Uttar Pradesh have become Covid-free with active and fresh cases declining to zero\n(\xe2\x80\xa6 https://t.co/YbFB0jYFZ4'
2021-08-29 18:35:01,b'109 new cases and 14 new deaths in Eswatini \n\n[20:35 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'
2021-08-29 18:29:35,"b'17,332 new cases and 255 new deaths in Turkey \n\n[20:29 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic'"
